ProviderName,PID,ProviderPracticeAddress1,ProviderPracticeAddress2,ProviderPracticeCity,ProviderPracticeStateCode,ProviderPracticeZipCode,County
Rising Star Nursing Center,1268,411 S MILLER ST,,RISING STAR,TX,76471,Eastland
River City Care Center,1269,921 NOLAN ST,,SAN ANTONIO,TX,78202,Bexar
River Hills Health and Rehabilitation Center,1270,2090 BANDERA HWY,,KERRVILLE,TX,78028,Kerr
River Oaks Health and Rehabilitation Center,1271,2416 NW 18TH ST,,FORT WORTH,TX,76106,Tarrant
River Ridge Nursing And Rehabilitation,1272,3922 W RIVER DR,,CORPUS CHRISTI,TX,78410,Nueces
River Valley Health and Rehabilitation Center,1273,1907 REFINERY RD,,GAINESVILLE,TX,76240,Cooke
Riverside Rehabilitation and Health Care Center,1275,6801 E RIVERSIDE DR,,AUSTIN,TX,78741,Travis
Riverview Nursing And Rehabilitation,1276,1102 RIVER RD,,BOERNE,TX,78006,Kendall
Robert Lee Care Center,1278,307 W 8TH ST,,ROBERT LEE,TX,76945,Coke
Robstown Nursing And Rehabilitation Center,1279,603 E AVENUE J,,ROBSTOWN,TX,78380,Nueces
Rock Creek Health and Rehabilitation,1280,1414 COLLEGE ST,,SULPHUR SPRINGS,TX,75482,Hopkins
"Rock Haven Nursing Home, Inc",1281,401 SE STALLINGS DR,,NACOGDOCHES,TX,75964,Nacogdoches
Rockport Nursing And Rehabilitation Center,1285,1902 FM 3036,,ROCKPORT,TX,78382,Aransas
Rockwall Nursing Care Center,1286,206 STORRS ST,,ROCKWALL,TX,75087,Rockwall
Rolling Meadows,1287,3006 MCNIEL AVE,,WICHITA FALLS,TX,76309,Wichita
ROLLINGBROOK REHABILITATION AND HEALTHCARE CENTER,1289,750 ROLLINGBROOK DR,,BAYTOWN,TX,77521,
Rollins Brook Community Hospital,1290,608 N KEY AVE,,LAMPASAS,TX,76550,Lampasas
Rose Haven Retreat,1292,200 LIVE OAK DR,,ATLANTA,TX,75551,Cass
Rose Trail Nursing And Rehabilitation Center,1293,930 S BAXTER AVE,,TYLER,TX,75701,Smith
"Rosenberg Health and Rehabilitation Center, LP",1294,1419 MAHLMANN ST,,ROSENBERG,TX,77471,Fort Bend
Rosewood Rehabilitation and Care Center,1295,7700 MESQUITE PASS,,CONVERSE,TX,78109,Bexar
Rowlett Health and Rehabilitation Center,1297,9300 LAKEVIEW PKWY,,ROWLETT,TX,75088,Dallas
Royal Manor East,1298,9101 PANTHERWAY,,WACO,TX,76712,McLennan
Royal Oaks Residence and Rehabilitation Center,1300,2939 WOODLAND PARK DR,,HOUSTON,TX,77082,Harris
Royse City Health and Rehabilitation Center,1301,901 W INTERSTATE 30,,ROYSE CITY,TX,75189,Rockwall
Runningwater Draw Care Center,1302,800 W 13TH ST,,OLTON,TX,79064,Lamb
Sagebrook Health Center,1304,901 DISCOVERY BLVD,,CEDAR PARK,TX,78613,Williamson
Sagecrest Alzheimers Care Center,1305,438 E HOUSTON HARTE EXPY,,SAN ANGELO,TX,76903,
Saint Catherine Center,1308,300 W STATE HIGHWAY 6,,WACO,TX,76712,McLennan
Saint Dominic Village,1309,2409 HOLCOMBE BLVD,,HOUSTON,TX,77021,Harris
Saint James House of Baytown,1311,5800 W BAKER RD,,BAYTOWN,TX,77520,Harris
Saint Teresa Nursing and Rehabilitation Center,1316,10350 MONTANA AVE,,EL PASO,TX,79925,El Paso
San Antonio Residence and Rehabilitation Center,1317,7703 BRIARIDGE DR,,SAN ANTONIO,TX,78230,Bexar
SAN GABRIEL REHABILITATION AND CARE CENTER,1320,4100 COLLEGE PARK DR,,ROUND ROCK,TX,78665,
San Jacinto Manor Skilled Nursing And Rehab,1321,206 W P ST,,DEER PARK,TX,77536,Harris
San Jose Nursing Center,1324,406 SHARMAIN PL,,SAN ANTONIO,TX,78221,Bexar
"San Juan Nursing Home, Inc",1325,300 N NEBRASKA AVE,,SAN JUAN,TX,78589,Hidalgo
San Marcos Rehabilitation and Healthcare Center,1326,1600 N INTERSTATE 35,,SAN MARCOS,TX,78666,Hays
San Pedro Manor,1327,515 W ASHBY PL,,SAN ANTONIO,TX,78212,Bexar
San Rafael Nursing and Rehabilitation Center,1328,3050 SUNNYBROOK RD,,CORPUS CHRISTI,TX,78415,Nueces
San Remo,1329,3550 N SHILOH RD,,RICHARDSON,TX,75082,Dallas
Sandy Lake Rehabilitation and Care Center,1331,1410 E SANDY LAKE RD,,COPPELL,TX,75019,Dallas
Santa Fe Health and Rehabilitation Center,1332,1205 SANTA FE DR,,WEATHERFORD,TX,76086,Parker
Scc At Hunters Pond Rehabilitation And Healthcare Center,1334,9903 HUNTERS POND,,SAN ANTONIO,TX,78224,Bexar
Schulenburg Regency Nursing Center,1338,111 COLLEGE ST,,SCHULENBURG,TX,78956,Fayette
Scott and White Memorial Hospital Skilled Nursing Unit STC4,1340,2401 S 31ST ST,,TEMPLE,TX,76508,Bell
"Seabreeze Nursing and Rehabilitation, LP",1341,6602 MEMORIAL DR,,TEXAS CITY,TX,77591,Galveston
Sedona Trace Health and Wellness,1342,8324 CAMERON RD,,AUSTIN,TX,78754,
Senior Care at Stephenville,1343,2601 NORTHWEST LOOP,,STEPHENVILLE,TX,76401,Erath
Senior Care At The Homestead Of Denison,1344,1101 REBA MACENTIRE LN,,DENISON,TX,75020,Grayson
Senior Care Beltline Health and Rehabilitation,1345,106 BELT LINE RD,,GARLAND,TX,75040,Dallas
Senior Care Brownwood,1346,2700 MEMORIAL PARK DR,,BROWNWOOD,TX,76801,Brown
Senior Care Center At Valley Grande Manor,1347,901 WILDROSE LN,,BROWNSVILLE,TX,78520,Cameron
Senior Care Center of Marlandwood East,1348,1511 MARLANDWOOD RD,,TEMPLE,TX,76502,Bell
Senior Care Centers Green Oaks,1349,3033 W GREEN OAKS BLVD,,ARLINGTON,TX,76016,Tarrant
Senior Care Centers Regency House,1350,3745 SUMMER CREST DR,,SAN ANGELO,TX,76901,Tom Green
Senior Care Denton Post Acute Care,1351,2244 BRINKER RD,,DENTON,TX,76208,Denton
Senior Care Edinburg Health And Rehabilitation,1352,4503 S SUGAR RD,,EDINBURG,TX,78539,Hidalgo
Senior Care Health and Rehabilitation Center,1353,910 MIDWESTERN PKWY,,WICHITA FALLS,TX,76302,Wichita
Senior Care Health and Rehabilitation Center,1354,2108 15TH ST,,BRIDGEPORT,TX,76426,Wise
Senior Care Health and Rehabilitation Center,1355,701 BENNETT RD,,DECATUR,TX,76234,Wise
Senior Care Health and Rehabilitation Dallas,1356,2815 MARTIN LUTHER KING JR BLVD,,DALLAS,TX,75215,Dallas
Senior Care Of Corpus Christi Assisted Living Facility,1357,202 FORTUNE DR,,CORPUS CHRISTI,TX,78405,Nueces
Senior Care of Crowley,1358,920 FM 1187 E,,CROWLEY,TX,76036,Tarrant
Senior Care of Harbor Lakes,1361,1300 E 2ND ST,,GRANBURY,TX,76048,Hood
Senior Care of Hewitt,1362,8836 MARS DR,,HEWITT,TX,76643,McLennan
Senior Care of Holland Lake,1363,1201 HOLLAND LAKE DR,,WEATHERFORD,TX,76086,Parker
Senior Care of Marlandwood West,1364,1700 MARLANDWOOD RD,,TEMPLE,TX,76502,Bell
Senior Care Of Meadow Creek,1365,4343 OAK GROVE BLVD,,SAN ANGELO,TX,76904,Tom Green
Senior Care of San Angelo,1366,5455 KNICKERBOCKER RD,,SAN ANGELO,TX,76904,Tom Green
Senior Care Of Weston Inn,1367,2505 S 37TH ST,,TEMPLE,TX,76504,Bell
Senior Care Of Windcrest,1368,8800 FOURWINDS DR,,SAN ANTONIO,TX,78239,Bexar
Senior Care of Wurzbach,1369,8300 WURZBACH RD,,SAN ANTONIO,TX,78229,Bexar
Senior Care Stallings Court Nursing and Rehabilitation,1370,4616 NE STALLINGS DR,,NACOGDOCHES,TX,75965,Nacogdoches
Senior Rehabilitation and Skilled Nursing Center,1371,8825 LAMPLIGHTER LN,,PORT ARTHUR,TX,77642,Jefferson
"Senior Suite Care and Rehabilitation, LLC",1372,983 N TEXAS ST,,EMORY,TX,75440,Rains
Seton Edgar B Davis Hospital,1374,130 HAYS ST,,LULING,TX,78648,Caldwell
Settlers Ridge Care Center,1379,1280 SETTLERS RDG,,CELINA,TX,75009,Collin
"Seven Acres Jewish Senior Care Services, Inc",1380,6200 N BRAESWOOD BLVD,,HOUSTON,TX,77074,Harris
Seven Oaks Nursing and Rehabilitation,1381,901 SEVEN OAKS RD,,BONHAM,TX,75418,Fannin
Seymour Hospital,1382,200 STADIUM DR,,RED SPRINGS,TX,76380,Baylor
Seymour Rehabilitation and Healthcare,1383,1110 WESTVIEW DR,,SEYMOUR,TX,76380,Baylor
Shady Acres Nursing and Rehabilitation Center,1384,405 SHADY ACRE LN,,NEWTON,TX,75966,Newton
Shady Oak Nursing and Rehabilitation Center,1385,101 S LANCASTER ST,,MOULTON,TX,77975,Lavaca
Shady Shores,1386,355 FM 83 W,,HEMPHILL,TX,75948,
Shannon Medical Center,1388,120 E HARRIS AVE,,SAN ANGELO,TX,76903,Tom Green
Sharpview Residents and Rehab,1391,7505 BELLERIVE DR,,HOUSTON,TX,77036,Harris
Sheridan Medical Lodge,1392,1119 S RED RIVER EXPY,,BURKBURNETT,TX,76354,Wichita
Shiner Nursing and Rehabilitation Center,1393,1213 N AVENUE B,,SHINER,TX,77984,Lavaca
Shinnery Oaks Community,1394,711 W BROADWAY ST,,DENVER CITY,TX,79323,Yoakum
"Sienna Nursing and Rehabilitation, LP",1396,2510 W 8TH ST,,ODESSA,TX,79763,Ector
Signature Pointe on the Lake,1398,14655 PRESTON RD,,DALLAS,TX,75254,Dallas
Silsbee Convalescent Center,1399,1105 HIGHWAY 418 W,,SILSBEE,TX,77656,Hardin
"Silsbee Oaks Health Care, LLP",1400,920 E AVENUE L,,SILSBEE,TX,77656,Hardin
Silver Creek Manor,1401,9014 TIMBER PATH,,SAN ANTONIO,TX,78250,Bexar
Silver Tree Nursing and Rehabilitation Center,1403,930 FM 3009,,SCHERTZ,TX,78154,Guadalupe
Silverado Hermann Park Memory Care,1404,5600 CHENEVERT ST,,HOUSTON,TX,77004,Harris
Silverspring Health And Rehabilitation Center,1406,1690 N TREADAWAY BLVD,,ABILENE,TX,79601,Taylor
Simpson Place Assisted Living,1407,3922 SIMPSON ST,,DALLAS,TX,75246,Dallas
Skilled Care at Mexia,1408,501 E SUMPTER ST,,MEXIA,TX,76667,Limestone
Skyline Nursing Center,1409,3326 BURGOYNE ST,,DALLAS,TX,75233,Dallas
Slaton Care Center,1410,630 S 19TH ST,,SLATON,TX,79364,Lubbock
Snyder Healthcare Center,1412,5311 BIG SPRING HWY,,SNYDER,TX,79549,Scurry
Snyder Oaks Care Center,1413,210 37TH ST,,SNYDER,TX,79549,Scurry
Solara Hospital McAllen,1414,301 W EXPRESSWAY 83,,MCALLEN,TX,78503,Hidalgo
Solera at West Houston,1415,2101 GREENHOUSE RD,,HOUSTON,TX,77084,Harris
Songbird Lodge,1416,2500 SONG BIRD CIR,,BROWNWOOD,TX,76801,Brown
Sonterra Health Center,1417,18514 SONTERRA PL,,SAN ANTONIO,TX,78258,Bexar
Sorrento Continuing Care Center,1418,2739 BABCOCK RD,,SAN ANTONIO,TX,78229,Bexar
South Place Nursing Center,1421,150 GIBSON RD,,ATHENS,TX,75751,Henderson
Southbrooke Manor Nursing and Rehabilitation Center,1424,1401 W MAIN ST,,EDNA,TX,77957,Jackson
Southeast Nursing and Rehabilitation Center,1425,4302 E SOUTHCROSS BLVD,,SAN ANTONIO,TX,78222,Bexar
Southland Rehabilitation and Healthcare Center,1429,501 N MEDFORD DR,,LUFKIN,TX,75901,Angelina
Southpark Meadows Nursing and Rehabilitation Center,1430,9801 S 1ST ST,,AUSTIN,TX,78748,Travis
Southwest Nursing and Rehabilitation Center,1431,5300 ALTAMESA BLVD,,FORT WORTH,TX,76133,Tarrant
Spanish Meadows Nursing and Rehabilitation,1435,1480 KATY FLEWELLEN RD,,KATY,TX,77494,Harris
Spanish Meadows Of Brownsville,1436,440 RUBEN TORRES SR BLVD,,BROWNSVILLE,TX,78520,Cameron
SPJST Skilled Nursing and Rehabilitation Needville,1438,8611 MAIN ST,,NEEDVILLE,TX,77461,Fort Bend
SPJST Skilled Nursing and Rehabilitation Taylor,1439,1810 OLD GRANGER,,TAYLOR,TX,76574,Williamson
Spring Branch Transitional Care Center,1443,1615 HILLENDAHL BLVD,,HOUSTON,TX,77055,Harris
"Spring Oaks Nursing and Rehabilitation, LP",1444,901 CENTRAL TEXAS EXPY,,LAMPASAS,TX,76550,Lampasas
SSC San Diego La Paloma Operating Company LP,1445,138 S FM 1329,,SAN DIEGO,TX,78384,Duval
St Giles Nursing And Rehabilitation Center,1446,950 CAMINO DEL REY,,EL PASO,TX,79927,El Paso
Stamford Residence and Rehabilitation Center,1448,1003 COLUMBIA ST,,STAMFORD,TX,79553,Jones
"Stanton Nursing and Rehabilitation, LP",1449,1100 W BROADWAY,,STANTON,TX,79782,Martin
Stephens Memorial Hospital,1450,200 S GENEVA ST,,BRECKENRIDGE,TX,76424,Stephens
Stephenville Nursing Home,1451,2311 W WASHINGTON ST,,STEPHENVILLE,TX,76401,Erath
Sterling County Nursing Home,1452,309 5TH ST,,STERLING CITY,TX,76951,Sterling
Sterling Oaks Rehabilitation,1453,25150 LAKECREST MANOR DR,,KATY,TX,77493,Harris
Stevens Nursing and Rehabilitation,1454,106 KAHN ST,,HALLETTSVILLE,TX,77964,Lavaca
Stevens Nursing Home,1455,204 WALTER ST,,YOAKUM,TX,77995,Lavaca
Stillhouse Rehabilitation and Healthcare Center,1456,2900 STILLHOUSE RD,,PARIS,TX,75462,Lamar
Stockdale Residence And Rehabilitation Center,1457,300 W SALMON ST,,STOCKDALE,TX,78160,Wilson
Stone Oak Care Center,1458,505 MADISON OAK DR,,SAN ANTONIO,TX,78258,Bexar
Stonebriar Nursing and Rehabilitation Center,1459,110 E LIVE OAK ST,,AUSTIN,TX,78704,Travis
Stonebridge Sn Health Center,1460,11127 CIRCLE DR,,AUSTIN,TX,78736,Travis
Stonegate Nursing Center,1461,4201 STONEGATE BLVD,,FORT WORTH,TX,76109,Tarrant
"Stonemere Rehabilitation Center, LLC",1463,11855 LEBANON RD,,FRISCO,TX,75035,Collin
Stonewall Memorial Hospital,1464,821 N BROADWAY ST,,ASPERMONT,TX,79502,Stonewall
Sugar Land Health Care Center,1465,333 MATLAGE WAY,,SUGAR LAND,TX,77478,Fort Bend
Sulphur Springs Health and Rehabilitation Center,1466,411 AIRPORT RD,,SULPHUR SPRINGS,TX,75482,Hopkins
Summer Meadows,1468,301 HOLLYBROOK DR,,LONGVIEW,TX,75605,Gregg
Summit Nursing And Rehabilitation Of San Augustine,1469,902 E MAIN ST,,SAN AUGUSTINE,TX,75972,San Augustine
Sundance Inn Health Center,1471,2034 SUNDANCE PKWY,,NEW BRAUNFELS,TX,78130,Comal
Sunflower Park Health Care,1472,1803 E STATE HIGHWAY 243,,KAUFMAN,TX,75142,Kaufman
"Sunny Springs Nursing and Rehab, Inc",1473,1200 JACKSON ST N,,SULPHUR SPRINGS,TX,75482,Hopkins
Sunrise Nursing and Rehabilitation Center,1474,50 BRIGGS ST,,SAN ANTONIO,TX,78224,Bexar
Sweeny Community Hospital,1478,305 N MCKINNEY ST,,SWEENY,TX,77480,Brazoria
Sweeny House,1479,109 N MCKINNEY ST,,SWEENY,TX,77480,Brazoria
Sweetwater Healthcare Center,1480,1600 JOSEPHINE ST,,SWEETWATER,TX,79556,Nolan
Swisher Memorial Hospital District,1481,539 SE 2ND ST,,TULIA,TX,79088,Swisher
Teague Nursing and Rehabilitation,1485,884 US HIGHWAY 84 W,,TEAGUE,TX,75860,Freestone
TERRA BELLA HEALTH AND WELLNESS SUITES,1487,12262 CITYSCAPE AVE,,HOUSTON,TX,77047,
Terrell Healthcare Center,1489,204 W NASH ST,,TERRELL,TX,75160,Kaufman
Texan Nursing and Rehabilitation of Gonzales,1493,3428 MOULTON RD,,GONZALES,TX,78629,Gonzales
Texhoma Christian Care Center,1497,300 LOOP 11,,WICHITA FALLS,TX,76306,Wichita
Texoma Healthcare Center,1498,1000 US HIGHWAY 82 E,,SHERMAN,TX,75090,Grayson
The Arbors,1499,1910 MEDI PARK DR,,AMARILLO,TX,79106,Potter
"The Arbors Healthcare and Rehabilitation, Inc",1500,1884 LOOP 343,,RUSK,TX,75785,Cherokee
The Atrium of Bellmead,1501,2401 DEVELOPMENT BLVD,,BELLMEAD,TX,76705,McLennan
The Atrium Rehabilitation Center,1502,7602 LOUIS PASTEUR DR,,SAN ANTONIO,TX,78229,Bexar
The Bartlett Rehab Skilled Care And Assisted Living,1503,221 BARTLETT DR,,EL PASO,TX,79912,El Paso
The Belmont at Twin Creeks,1504,999 RAINTREE CIR,,ALLEN,TX,75013,Collin
The Bradford at Brookside,1505,301 W PARK,,LIVINGSTON,TX,77351,Polk
The Broadmoor at Creekside Park,1506,5665 CREEKSIDE FOREST DRIVE,,THE WOODLANDS,TX,77389,Harris
The Buckingham,1508,8580 WOODWAY DR,,HOUSTON,TX,77063,Harris
The Carlyle at Stonebridge Park,1509,170 STONEBRIDGE LN,,SOUTHLAKE,TX,76092,Tarrant
THE CENTER AT GRANDE,1510,3219 E GRANDE BLVD,,TYLER,TX,75707,
The Colonnades at Reflection Bay,1512,12001 SHADOW CREEK PKWY,,PEARLAND,TX,77584,Brazoria
The Concierge,1513,2310 ELDRIDGE PKWY,,HOUSTON,TX,77077,Harris
The Courtyard Rehabilitation and Healthcare Center,1514,3401 E AIRLINE RD,,VICTORIA,TX,77901,Victoria
The Courtyards at Pasadena,1515,4048 RED BLUFF RD,,PASADENA,TX,77503,Harris
The Craig Senior Living,1516,5500 SW 9TH AVE,,AMARILLO,TX,79106,Potter
The Crescent,1517,11353 SUGAR PARK LN,,SUGAR LAND,TX,77478,Fort Bend
THE CROSSINGS,1518,255 N EGRET BAY BLVD,,LEAGUE CITY,TX,77573,
The Enclave,1519,18803 HARDY OAK BLVD,,SAN ANTONIO,TX,78258,Bexar
The Forum at Lincoln Heights,1520,311 W NOTTINGHAM DR,,SAN ANTONIO,TX,78209,Bexar
The Forum at Memorial Woods,1521,777 N POST OAK RD,,HOUSTON,TX,77024,Harris
The Forum at Park Lane,1522,7827 PARK LN,,DALLAS,TX,75225,Dallas
The Gardens Of Bellaire,1523,4620 BELLAIRE BLVD,,BELLAIRE,TX,77401,Harris
The Grace Care Center of Katy,1524,23553 W FERNHURST DR,,KATY,TX,77494,Harris
The Hallmark,1525,4718 HALLMARK DR,,HOUSTON,TX,77056,Harris
The Harrison at Heritage,1526,4600 HERITAGE TRACE PKWY,,FORT WORTH,TX,76244,Tarrant
THE HEALTHCARE RESORT OF PLANO,1527,3325 W PLANO PKWY,,PLANO,TX,75075,Collin
The Heights of Alamo,1528,1214 S ALAMO RD,,ALAMO,TX,78516,
The Heights of Atascosa,1529,1855 W GOODWIN ST,,PLEASANTON,TX,78064,Atascosa
The Heights Of Bulverde,1530,384 HARMONY HLS,,BULVERDE,TX,78070,Comal
The Heights of Gonzales,1531,701 N SARAH DEWITT DR,,GONZALES,TX,78629,Gonzales
The Heights of North Houston,1532,303 HOLLOW TREE LN,,HOUSTON,TX,77090,Harris
The Heights of Tomball,1533,27840 JOHNSON RD,,TOMBALL,TX,77375,Harris
The Heights of Tyler,1534,2650 ELKTON TRL,,TYLER,TX,75703,Smith
The Heights on Huebner,1535,10127 HUEBNER RD,,SAN ANTONIO,TX,78240,Bexar
The Heritage Nursing Home,1537,1026 E GOODE ST,,QUITMAN,TX,75783,Wood
"The Highlands Guest Care Center, Llc",1538,9009 FOREST LN,,DALLAS,TX,75243,Dallas
The Hillcrest of North Dallas,1539,18648 HILLCREST RD,,DALLAS,TX,75252,Dallas
The Hills Nursing and Rehabilitation Center,1540,201 E THOMPSON ST,,DECATUR,TX,76234,Wise
The Homestead of Sherman,1544,1000 SARA SWAMY DR,,SHERMAN,TX,75090,Grayson
The Lakes at Texas City,1548,424 TARPEY RD,,TEXAS CITY,TX,77591,Galveston
The Landing At Watermere,1549,201 WATERMERE DR,,SOUTHLAKE,TX,76092,Tarrant
The Legacy at Town Creek,1552,2212 W REAGAN ST,,PALESTINE,TX,75801,Anderson
The Legacy Willow Bend,1553,6101 OHIO DR,,PLANO,TX,75024,Collin
The Lennwood Nursing and Rehabilitation,1554,8017 W VIRGINIA DR,,DALLAS,TX,75237,Dallas
The Lodge at Bear Creek,1556,3729 IRA E WOODS AVE,,GRAPEVINE,TX,76051,
The Madison on Marsh,1557,2245 MARSH LN,,CARROLLTON,TX,75006,Dallas
The Manor at Seagoville,1558,2416 ELIZABETH LN,,SEAGOVILLE,TX,75159,Dallas
"The Manor Healthcare Residence, Ltd",1559,831 TEHUACANA HWY,,MEXIA,TX,76667,Limestone
The Meadows Health and Rehabilitation Center,1561,8383 MEADOW RD,,DALLAS,TX,75231,Dallas
The Medical Resort at Bay Area,1562,4900 E SAM HOUSTON PKWY S,,PASADENA,TX,77505,Harris
The Medical Resort at Pearland,1563,3406 BUSINESS CENTER DR,,PEARLAND,TX,77584,
The Medical Resort at Sugar Land,1564,1803 WESCOTT AVE,,SUGAR LAND,TX,77479,
The Medical Resort at Sugar Land,1565,1803 WESTCOTT AVE,,SUGAR LAND,TX,77479,Fort Bend
The Medical Resort At Willowbrook,1566,13220 BRETON RIDGE ST,,HOUSTON,TX,77070,Harris
The Medical Resort at Woodlands,1567,24854 CATHEDRAL LAKES PKWY,,SPRING,TX,77386,
The Meridian,1569,2228 SEAWALL BLVD,,GALVESTON,TX,77550,Galveston
The MonteVista at Coronado,1570,1575 BELVIDERE ST,,EL PASO,TX,79912,El Paso
The Oaks at Beaumont,1571,4195 MILAM ST,,BEAUMONT,TX,77707,Jefferson
The Oaks at Brookshire,1572,710 HIGHWAY 359 S,,BROOKSHIRE,TX,77423,Waller
The Oaks At Radford Hills Healthcare Center,1573,725 MEDICAL DR,,ABILENE,TX,79601,Taylor
"The Palms Nursing and Rehabilitation, LP",1574,5607 EVERHART RD,,CORPUS CHRISTI,TX,78411,Nueces
The Park in Plano,1575,3208 THUNDERBIRD LN,,PLANO,TX,75075,Collin
The Pavilion At Creekwood,1577,2100 CANNON DR,,MANSFIELD,TX,76063,Tarrant
THE PHOENIX POST ACUTE,1578,519 9TH AVE N,,TEXAS CITY,TX,77590,Galveston
The Plaza at Edgemere Health Service,1579,8502 EDGEMERE RD,,DALLAS,TX,75225,Dallas
The Plaza at Lubbock,1580,4910 EMORY ST,,LUBBOCK,TX,79416,Lubbock
The Plaza at Richardson,1581,1301 RICHARDSON DR,,RICHARDSON,TX,75080,Dallas
"The Rehabilitation and Wellness Centre of Dallas, LLC",1582,4200 LIVE OAK ST,,DALLAS,TX,75204,Dallas
The Renaissance at Kessler Park,1583,2428 BAHAMA DR,,DALLAS,TX,75211,Dallas
The Reserve at Richardson,1584,1610 RICHARDSON DR,,RICHARDSON,TX,75080,
The Resort at Texas City,1585,1720 N LOGAN ST,,TEXAS CITY,TX,77590,Galveston
The Rio at Mainland Center,1586,1011 MAINLAND CENTER DR,,TEXAS CITY,TX,77591,Galveston
The Rio At Mission Trails,1587,6211 S NEW BRAUNFELS AVE,,SAN ANTONIO,TX,78223,Bexar
The Rosewood Retirement Community,1588,5700 E CENTRAL TEXAS EXPY,,KILLEEN,TX,76543,Bell
The Springs Healthcare and Rehabilitation,1591,1500 COTTONWOOD CREEK TRL,,CEDAR PARK,TX,78613,Williamson
The Springs Nursing Center,1592,704 TAYLOR ST,,HUGHES SPRINGS,TX,75656,Cass
The Stayton at Museum Way,1593,2501 MUSEUM WAY,,FORT WORTH,TX,76107,Tarrant
The Terrace at Denison,1594,1300 MEMORIAL DR,,DENISON,TX,75020,Grayson
The Villa at Marbridge,1595,2504 BLISS SPILLAR RD,,MANCHACA,TX,78652,Travis
The Villa at Mountain View,1596,2918 DUNCANVILLE RD,,DALLAS,TX,75211,Dallas
The Villa At Texarkana,1597,4920 ELIZABETH ST,,TEXARKANA,TX,75503,Bowie
"The Village at Gleannloch Farms, Inc",1598,9505 NORTHPOINTE BLVD,,SPRING,TX,77379,Harris
The Village at Richardson,1601,1111 ROCKINGHAM DR,,RICHARDSON,TX,75080,Dallas
The Vintage Health Care Center,1602,205 N BONNIE BRAE ST,,DENTON,TX,76201,Denton
The Waterton Healthcare and Rehabilitation,1603,2875 SHILOH RD,,TYLER,TX,75703,Smith
The Wesleyan at Scenic,1604,2001 SCENIC DR,,GEORGETOWN,TX,78626,Williamson
The Westbury Place,1605,5201 S WILLOW DR,,HOUSTON,TX,77035,Harris
The Woodlands Healthcare Center,1606,4650 S PANTHER CREEK DR,,SPRING,TX,77381,Montgomery
TimberRidge Health and Rehabilitation Center,1610,315 W GIBSON ST,,JASPER,TX,75951,Jasper
Timberwood Nursing and Rehabilitation Center,1611,4001 US HIGHWAY 59 N,,LIVINGSTON,TX,77351,Polk
TMC Bonham Hospital,1615,504 LIPSCOMB ST,,BONHAM,TX,75418,Fannin
"Tomball Nursing Center, Inc",1616,815 PEACH ST,,TOMBALL,TX,77375,Harris
Towers Nursing Home,1618,372 HILL RD,,SMITHVILLE,TX,78957,Bastrop
Town and Country Manor,1619,625 N MAIN ST,,BOERNE,TX,78006,Kendall
Town East Rehabilitation and Healthcare Center,1620,3617 O HARE DR,,MESQUITE,TX,75150,Dallas
Town Hall Estates Health Care Facility Arlington,1621,824 W MAYFIELD RD,,ARLINGTON,TX,76015,Tarrant
Town Hall Estates Health Care Facility Keene,1622,207 S OLD BETSY RD,,KEENE,TX,76059,Johnson
Town Hall Estates Health Care Facility Whitney,1623,101 N SAN MARCOS ST,,WHITNEY,TX,76692,Hill
Town Hall Estates Rehabilitation and Nursing Center,1624,300 HAPPY LN,,HILLSBORO,TX,76645,Hill
Trail Lake Nursing and Rehabilitation,1626,7100 TRAIL LAKE DR,,FORT WORTH,TX,76123,Tarrant
Traymore Nursing Center,1627,4315 HOPKINS AVE,,DALLAS,TX,75209,Dallas
Treasure Hills Healthcare and Rehabilitation Center,1628,2204 PEASE ST,,HARLINGEN,TX,78550,Cameron
Treemont Health Care Center,1629,2501 WESTERLAND DR,,HOUSTON,TX,77063,Harris
Treemont Healthcare and Rehabilitation Center,1630,5550 HARVEST HILL RD,STE 500,DALLAS,TX,75230,Dallas
Trinity Care Center,1633,1000 E MAIN ST,,ROUND ROCK,TX,78664,Williamson
"Trinity Nursing And Rehabilitation Of Burleson, Lp",1635,600 MAPLE AVE,,BURLESON,TX,76028,Johnson
"Trinity Nursing and Rehabilitation of Comfort, LP",1636,615 FALTIN RD,,COMFORT,TX,78013,Kendall
"Trinity Nursing and Rehabilitation of Diboll, LP",1637,900 S TEMPLE DR,,DIBOLL,TX,75941,Angelina
Trinity Nursing and Rehabilitation of Granbury,1638,600 REUNION CT,,GRANBURY,TX,76048,Hood
Trinity Of Italy Nursing And Rehabilitation,1639,220 DAVENPORT,,ITALY,TX,76651,Ellis
"Trinity of Winnsboro, LLC",1640,502 E COKE RD,,WINNSBORO,TX,75494,Wood
TRINITY REHABILITATION and HEALTHCARE CENTER,1641,314 E CAROLINE ST,,TRINITY,TX,75862,
Trinity Terrace Retirement Community,1642,1600 TEXAS ST,,FORT WORTH,TX,76102,Tarrant
Trisun Care Center Northeast El Paso,1645,11169 SEAN HAGGERTY DR,,EL PASO,TX,79934,El Paso
Trucare Living Centers,1649,2265 S SYCAMORE ST,,PALESTINE,TX,75801,Anderson
Trucare Living Centers Columbus,1650,1511 MONTEZUMA ST,,COLUMBUS,TX,78934,Colorado
Trucare Living Centers Selma,1651,16550 RETAMA PKWY,,SELMA,TX,78154,
